Microbial clades		G1								G2										G3						G4	
Headers		GroupG1		BM		KG		Hp		GroupG2		Th		PT		TD		Sal		GroupG3		SupP		SubP		Stool	
	max	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV
Column1	Column28	Column2	Column3	Column4	Column5	Column6	Column7	Column8	Column9	Column10	Column11	Column12	Column13	Column14	Column15	Column16	Column17	Column18	Column19	Column20	Column21	Column22	Column23	Column24	Column25	Column26	Column27
Bacteria;Firmicutes;Clostridia;Clostridiales;Incertae_Sedis_XI;Finegoldia	0.002	0.001	0.006	0.002	0.015	0	0	0	0.002	0	0.003	0.001	0.006	0	0.002	0	0.001	0	0.002	0	0.001	0	0.001	0	0.001	0.001	0.009
Bacteria;Firmicutes;Clostridia;Clostridiales;Incertae_Sedis_XI;Parvimonas	0.485	0.1	0.177	0.057	0.094	0.018	0.108	0.225	0.329	0.252	0.467	0.24	0.5	0.415	0.805	0.206	0.368	0.149	0.193	0.297	0.361	0.108	0.165	0.485	0.556	0.001	0.005
Bacteria;Firmicutes;Clostridia;Clostridiales;Incertae_Sedis_XI;Peptoniphilus	0.01	0.001	0.005	0.001	0.006	0	0	0.001	0.009	0.004	0.034	0.001	0.008	0.01	0.062	0	0.003	0.005	0.062	0	0.003	0	0	0.001	0.006	0.002	0.016
Bacteria;Firmicutes;Clostridia;Clostridiales;Incertae_Sedis_XI;unclassified	0.003	0	0.001	0	0.002	0	0	0	0.002	0.001	0.008	0.001	0.008	0.002	0.019	0	0.003	0	0.003	0.001	0.016	0	0.002	0.003	0.03	0.005	0.033
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Acetitomaculum	0	0	0	0	0	0	0	0	0	0	0.001	0	0.001	0	0	0	0	0	0.002	0	0	0	0	0	0	0.001	0.005
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Anaerosporobacter	0	0	0	0	0.001	0	0	0	0	0	0.001	0	0.001	0	0.003	0	0.001	0	0	0	0	0	0	0	0	0	0.001
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Anaerostipes	0.002	0.001	0.006	0.001	0.004	0	0.002	0.002	0.011	0	0.004	0	0.003	0	0	0	0.006	0.001	0.007	0	0.004	0	0	0.001	0.008	0.063	0.223
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Butyrivibrio	0.057	0.008	0.022	0.005	0.016	0	0.002	0.02	0.048	0.042	0.085	0.057	0.092	0.032	0.062	0.034	0.079	0.043	0.105	0.002	0.015	0	0.003	0.004	0.027	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Catonella	0.556	0.095	0.119	0.059	0.095	0.016	0.037	0.212	0.227	0.414	0.428	0.365	0.393	0.385	0.372	0.349	0.333	0.556	0.612	0.209	0.296	0.126	0.231	0.292	0.362	0	0.002
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Coprococcus	0.01	0.005	0.023	0.005	0.024	0.001	0.006	0.01	0.039	0.005	0.026	0.007	0.021	0.003	0.031	0.001	0.005	0.008	0.048	0.001	0.007	0	0.001	0.002	0.013	0.829	1.098
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Dorea	0.002	0.001	0.005	0	0.004	0	0.001	0.002	0.012	0.001	0.003	0.001	0.005	0	0.001	0	0	0.001	0.005	0	0.004	0	0.001	0.001	0.007	0.236	0.348
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Hespellia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0.003
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Johnsonella	0.088	0.003	0.023	0.006	0.06	0	0.001	0.002	0.007	0.003	0.023	0.004	0.046	0.005	0.035	0	0.001	0.003	0.009	0.059	0.168	0.031	0.083	0.088	0.252	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0.016
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Moryella	0.3	0.062	0.127	0.044	0.087	0.004	0.019	0.138	0.275	0.235	0.404	0.291	0.516	0.247	0.407	0.3	0.491	0.102	0.203	0.011	0.048	0.009	0.026	0.014	0.071	0.002	0.015
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Oribacterium	2.653	0.354	0.374	0.227	0.334	0.028	0.099	0.808	0.69	1.652	1.378	1.37	1.046	1.215	0.93	1.37	0.884	2.653	2.652	0.071	0.195	0.042	0.099	0.1	0.291	0.001	0.011
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Parasporobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Pseudobutyrivibrio	0.001	0	0	0	0	0	0	0	0.001	0	0.003	0.001	0.006	0	0.001	0	0	0	0.003	0	0	0	0	0	0	0.02	0.064
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Robinsoniella	0.001	0	0.001	0	0.002	0	0	0	0.002	0	0.003	0.001	0.009	0	0.001	0	0.001	0	0.003	0	0.002	0	0.003	0	0.001	0	0.003
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia	0.026	0.008	0.026	0.004	0.017	0.001	0.007	0.018	0.053	0.01	0.049	0.026	0.13	0.003	0.012	0	0.003	0.011	0.052	0.005	0.055	0	0.002	0.01	0.108	2.081	2.378
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Shuttleworthia	0.019	0.004	0.015	0.006	0.021	0.001	0.007	0.005	0.018	0.009	0.042	0.012	0.054	0.01	0.067	0.001	0.012	0.014	0.038	0.01	0.053	0.002	0.008	0.019	0.097	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Syntrophococcus	0.024	0.005	0.011	0.003	0.009	0.002	0.009	0.009	0.017	0.021	0.036	0.022	0.036	0.023	0.04	0.024	0.039	0.013	0.029	0.011	0.027	0.013	0.03	0.01	0.024	0	0.001
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;unclassified	3.14	0.625	0.795	0.508	0.683	0.139	0.306	1.227	1.396	2.39	2.315	3.14	3.04	2.76	2.719	2.568	2.703	1.09	0.798	0.794	1.055	0.811	1.116	0.778	0.995	3.699	3.222
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;Dehalobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;Desulfonispora	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;Peptococcus	0.049	0.013	0.027	0.01	0.025	0.001	0.005	0.03	0.05	0.036	0.064	0.04	0.078	0.049	0.079	0.031	0.055	0.023	0.043	0.021	0.046	0.014	0.038	0.029	0.053	0.002	0.008
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;unclassified	0.011	0.001	0.006	0.001	0.009	0	0.001	0.003	0.008	0.005	0.019	0.005	0.016	0.011	0.034	0.002	0.01	0.002	0.014	0.004	0.014	0.002	0.007	0.006	0.022	0.003	0.011
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Filifactor	0.052	0.005	0.016	0.006	0.015	0.003	0.014	0.006	0.018	0.028	0.084	0.023	0.091	0.052	0.162	0.016	0.027	0.022	0.058	0.032	0.116	0.011	0.035	0.052	0.197	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Peptostreptococcus	0.263	0.105	0.161	0.042	0.09	0.012	0.056	0.262	0.338	0.22	0.347	0.233	0.36	0.239	0.431	0.143	0.154	0.263	0.443	0.035	0.105	0.017	0.061	0.054	0.148	0.006	0.069
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Sporacetigenium	0.021	0.009	0.054	0.003	0.015	0.003	0.034	0.021	0.113	0.006	0.044	0.014	0.122	0.004	0.026	0.001	0.004	0.004	0.022	0.005	0.069	0.001	0.009	0.01	0.13	0.034	0.1
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;unclassified	0.007	0.002	0.02	0.001	0.012	0.001	0.005	0.005	0.042	0.003	0.025	0.007	0.079	0.002	0.013	0	0.004	0.001	0.004	0.001	0.004	0	0	0.001	0.008	0.014	0.037
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Acetanaerobacterium	0	0	0.001	0	0	0	0	0	0.003	0	0.001	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0.038	0.157
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Acetivibrio	0	0	0.002	0	0.001	0	0.001	0	0.003	0	0.002	0	0.003	0	0.002	0	0	0	0.002	0	0	0	0.001	0	0	0.059	0.104
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Anaerofilum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003	0.021
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Anaerotruncus	0.003	0	0.004	0	0.001	0	0	0.001	0.009	0.001	0.009	0.003	0.034	0	0.001	0	0	0	0	0	0.001	0	0	0	0.003	0.075	0.197
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Butyricicoccus	0.001	0.001	0.005	0.001	0.006	0	0.003	0.001	0.006	0	0.003	0.001	0.005	0	0.002	0	0.002	0	0.002	0	0.001	0	0.001	0	0.002	0.093	0.182
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ethanoligenens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004	0.018
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Faecalibacterium	0.035	0.015	0.073	0.007	0.021	0.003	0.013	0.035	0.185	0.012	0.065	0.027	0.151	0.011	0.071	0.001	0.005	0.009	0.032	0.005	0.035	0	0.003	0.009	0.067	4.58	5.185
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Hydrogenoanaerobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0.007
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Lactonifactor	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillibacter	0.016	0.005	0.025	0.003	0.012	0.002	0.017	0.011	0.046	0.006	0.04	0.016	0.104	0.003	0.017	0.001	0.003	0.005	0.034	0.002	0.023	0	0.002	0.005	0.044	2.176	2.49
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Papillibacter	0	0	0	0	0	0	0	0	0	0	0.001	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0.011	0.034
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus	0.021	0.004	0.015	0.003	0.012	0.001	0.005	0.008	0.028	0.007	0.049	0.021	0.156	0.003	0.014	0	0.003	0.005	0.023	0.001	0.01	0	0.002	0.002	0.018	1.624	2.894
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Sporobacter	0.001	0	0.003	0	0.004	0	0	0.001	0.006	0	0.004	0.001	0.007	0	0.003	0	0	0.001	0.005	0	0	0	0	0	0	0.081	0.177
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Subdoligranulum	0.005	0.003	0.013	0.002	0.008	0.001	0.006	0.005	0.024	0.003	0.016	0.004	0.013	0.004	0.023	0.001	0.009	0.003	0.018	0.002	0.012	0	0.001	0.003	0.023	1.427	2.268
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;unclassified	0.036	0.008	0.027	0.007	0.025	0.002	0.01	0.014	0.048	0.015	0.09	0.036	0.239	0.008	0.042	0.001	0.005	0.015	0.073	0.004	0.036	0.001	0.003	0.007	0.068	4.372	5.128
Bacteria;Firmicutes;Clostridia;Clostridiales;Veillonellaceae;Acidaminococcus	0	0	0.002	0	0	0	0	0	0.005	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0.068	0.264
Bacteria;Firmicutes;Clostridia;Clostridiales;Veillonellaceae;Allisonella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0.002	0.014
Bacteria;Firmicutes;Clostridia;Clostridiales;Veillonellaceae;Anaeroglobus	0.038	0.003	0.019	0.006	0.045	0	0.003	0.002	0.008	0.011	0.063	0.013	0.137	0.014	0.06	0.002	0.017	0.015	0.038	0.03	0.131	0.021	0.134	0.038	0.129	0	0.001
Bacteria;Firmicutes;Clostridia;Clostridiales;Veillonellaceae;Centipeda	0.608	0.023	0.046	0.014	0.037	0.005	0.016	0.051	0.085	0.268	0.448	0.231	0.346	0.164	0.304	0.068	0.141	0.608	0.999	0.036	0.062	0.031	0.054	0.042	0.07	0	0.001
Bacteria;Firmicutes;Clostridia;Clostridiales;Veillonellaceae;Dialister	0.422	0.024	0.056	0.043	0.104	0.003	0.011	0.027	0.053	0.124	0.261	0.084	0.263	0.165	0.42	0.014	0.054	0.232	0.307	0.273	0.539	0.123	0.288	0.422	0.789	1.02	2.746
Bacteria;Firmicutes;Clostridia;Clostridiales;Veillonellaceae;Megamonas	0	0	0.001	0	0.001	0	0	0	0.003	0	0.001	0	0.002	0	0.001	0	0	0	0.001	0	0	0	0	0	0	0.016	0.188
Bacteria;Firmicutes;Clostridia;Clostridiales;Veillonellaceae;Megasphaera	0.81	0.129	0.236	0.061	0.13	0.011	0.062	0.314	0.515	0.602	0.767	0.735	0.944	0.426	0.599	0.438	0.578	0.81	0.947	0.03	0.193	0.012	0.078	0.048	0.308	0.04	0.245
Bacteria;Firmicutes;Clostridia;Clostridiales;Veillonellaceae;Mitsuokella	0.007	0.002	0.01	0.001	0.007	0	0.002	0.004	0.021	0.004	0.024	0.006	0.04	0.001	0.005	0	0	0.007	0.053	0.001	0.008	0	0.003	0.001	0.014	0.001	0.015
Bacteria;Firmicutes;Clostridia;Clostridiales;Veillonellaceae;Phascolarctobacterium	0.003	0.001	0.007	0.001	0.003	0.001	0.006	0.002	0.012	0.002	0.01	0.002	0.007	0.001	0.006	0.001	0.009	0.003	0.017	0.001	0.012	0	0.001	0.002	0.023	0.766	1.398
Bacteria;Firmicutes;Clostridia;Clostridiales;Veillonellaceae;Schwartzia	0.125	0.004	0.014	0.007	0.017	0	0.003	0.004	0.023	0.016	0.033	0.003	0.009	0.006	0.018	0.001	0.006	0.053	0.098	0.09	0.176	0.056	0.126	0.125	0.226	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Veillonellaceae;Selenomonas	1.442	0.134	0.736	0.086	0.137	0.258	1.991	0.057	0.081	0.316	0.464	0.211	0.331	0.238	0.455	0.038	0.078	0.776	0.993	1.276	1.557	1.109	1.474	1.442	1.641	0	0.001
Bacteria;Firmicutes;Clostridia;Clostridiales;Veillonellaceae;Succiniclasticum	0	0	0.001	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0.027	0.21
Bacteria;Firmicutes;Clostridia;Clostridiales;Veillonellaceae;Veillonella	12.945	5.228	4.589	3.674	3.417	5.57	6.282	6.44	4.068	10.24	5.424	8.543	4.706	8.371	5.487	11.1	4.884	12.945	6.617	3.745	4.456	3.611	3.679	3.879	5.234	0.07	0.4
Bacteria;Firmicutes;Clostridia;Clostridiales;Veillonellaceae;unclassified	1.541	0.111	0.274	0.064	0.095	0.124	0.521	0.145	0.206	0.752	1.21	0.668	1.113	0.566	1.198	0.232	0.498	1.541	2.031	0.616	0.758	0.512	0.678	0.72	0.838	0.131	0.376
Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;Bulleidia	0.008	0	0	0	0	0	0	0	0.001	0.002	0.013	0.001	0.006	0.008	0.041	0	0.003	0.001	0.003	0	0.003	0	0.003	0	0.003	0	0
Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;Catenibacterium	0.001	0	0.003	0	0.001	0	0	0.001	0.008	0	0.002	0	0.005	0	0.001	0	0	0	0.001	0	0.001	0	0.001	0	0	0.035	0.292
Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;Coprobacillus	0.002	0.001	0.004	0.001	0.004	0	0.001	0.002	0.008	0.001	0.006	0.001	0.005	0	0.004	0	0	0.002	0.016	0.001	0.009	0	0	0.002	0.019	0.168	0.338
Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;Erysipelothrix	0	0	0.001	0	0.001	0	0.001	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;Holdemania	0.006	0.002	0.02	0	0.001	0	0.001	0.006	0.058	0.001	0.007	0	0.002	0	0	0	0	0.003	0.024	0	0	0	0.001	0	0	0.023	0.041
Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;Sharpea	0.01	0	0.002	0	0.003	0	0	0	0.003	0.003	0.026	0.003	0.029	0.01	0.076	0	0	0	0.001	0.001	0.012	0	0.002	0.002	0.022	0	0
Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;Solobacterium	0.154	0.042	0.101	0.012	0.036	0.001	0.006	0.112	0.262	0.128	0.24	0.154	0.343	0.124	0.207	0.131	0.196	0.104	0.216	0.009	0.037	0.003	0.009	0.014	0.065	0.004	0.035
Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;Turicibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.024	0.106
Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;unclassified	0.005	0.001	0.005	0.001	0.009	0	0.001	0.001	0.006	0.003	0.017	0.002	0.006	0.005	0.049	0.002	0.005	0.002	0.007	0	0.002	0	0.001	0.001	0.003	0.055	0.199
Bacteria;Fusobacteria;Fusobacteria;Fusobacteriales;Fusobacteriaceae;Fusobacterium	11.996	2.703	2.997	2.671	2.707	2.24	3.377	3.198	2.907	7.276	5.981	5.645	5.26	9.802	7.413	7.798	6.889	5.861	4.361	9.225	7.026	6.454	5.646	11.996	8.407	0.067	0.492
Bacteria;Fusobacteria;Fusobacteria;Fusobacteriales;Fusobacteriaceae;unclassified	0.004	0.001	0.003	0	0.002	0.001	0.005	0.001	0.003	0.003	0.008	0.002	0.008	0.004	0.011	0.004	0.01	0.001	0.004	0.001	0.005	0.001	0.005	0.001	0.005	0.003	0.022
Bacteria;Fusobacteria;Fusobacteria;Fusobacteriales;Leptotrichiaceae;Leptotrichia	4.803	0.966	1.547	1.156	1.714	0.32	1.077	1.42	1.85	3.473	3.931	4.803	5.515	4.266	4.704	3.304	4.268	1.519	1.235	4.134	4.282	4.78	4.952	3.488	3.612	0.002	0.016
Bacteria;Fusobacteria;Fusobacteria;Fusobacteriales;Leptotrichiaceae;Sneathia	0.027	0	0.001	0	0.001	0	0	0	0	0.01	0.114	0.012	0.14	0.027	0.301	0	0.001	0.002	0.012	0	0.001	0	0.002	0	0.001	0	0
Bacteria;Fusobacteria;Fusobacteria;Fusobacteriales;Leptotrichiaceae;Streptobacillus	0.129	0.042	0.269	0.019	0.203	0.103	0.588	0.003	0.017	0.049	0.335	0.045	0.345	0.129	0.931	0.001	0.004	0.02	0.062	0.002	0.021	0.003	0.034	0.001	0.008	0	0
Bacteria;Fusobacteria;Fusobacteria;Fusobacteriales;Leptotrichiaceae;unclassified	0.257	0.024	0.085	0.02	0.063	0.017	0.089	0.035	0.104	0.137	0.561	0.138	0.391	0.257	1.276	0.112	0.315	0.043	0.262	0.021	0.063	0.024	0.076	0.018	0.049	0	0
Bacteria;Gemmatimonadetes;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae;Gemmatimonas	0.002	0	0	0	0	0	0	0	0	0	0.005	0.002	0.021	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Lentisphaerae;Lentisphaeria;Victivallales;Victivallaceae;Victivallis	0	0	0.001	0	0	0	0	0	0.002	0	0.003	0	0.005	0	0	0	0	0	0.006	0	0	0	0	0	0	0.031	0.153
Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas	0.001	0	0.002	0	0.002	0	0	0.001	0.004	0.001	0.005	0.001	0.004	0	0.003	0.001	0.011	0	0.001	0	0.006	0	0	0.001	0.012	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Caulobacter	0.003	0	0.001	0	0.002	0	0	0	0	0.001	0.009	0.003	0.037	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Phenylobacterium	0.019	0.002	0.012	0.002	0.014	0	0.003	0.003	0.019	0.006	0.041	0.019	0.135	0	0.002	0	0	0.005	0.029	0	0.001	0	0.001	0	0.002	0.001	0.013
Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;unclassified	0.004	0.001	0.007	0.002	0.011	0	0.004	0.001	0.005	0.002	0.014	0.004	0.024	0	0.002	0	0	0.003	0.029	0.001	0.011	0	0.002	0.002	0.021	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Aurantimonadaceae;Aurantimonas	0	0	0	0	0	0	0	0	0	0	0.002	0	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Beijerinckia	0	0	0.001	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;unclassified	0	0	0.001	0	0	0	0.002	0	0	0	0.001	0	0	0	0	0	0	0	0.004	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Afipia	0.003	0	0.003	0	0.001	0	0.002	0.001	0.005	0.001	0.009	0.003	0.029	0	0	0	0	0.001	0.006	0	0.001	0	0.001	0	0.001	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Agromonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0.001	0	0.001	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Bosea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0.001	0	0	0	0.002	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Bradyrhizobium	0.06	0.003	0.015	0.002	0.009	0.001	0.008	0.006	0.028	0.017	0.145	0.005	0.027	0.001	0.007	0	0	0.06	0.547	0.001	0.005	0	0.005	0.001	0.004	0.002	0.02
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;unclassified	0.009	0	0.003	0	0.001	0	0.001	0.001	0.008	0.002	0.028	0	0	0.001	0.006	0	0	0.009	0.108	0	0.001	0	0.002	0	0.001	0.001	0.008
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Brucellaceae;Ochrobactrum	0	0	0	0	0	0	0	0	0	0	0.001	0	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Brucellaceae;unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Devosia	0.005	0	0.002	0	0	0	0	0.001	0.005	0.001	0.017	0.005	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Pedomicrobium	0	0	0.001	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Prosthecomicrobium	0	0	0.002	0	0	0	0	0	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylobacteriaceae;Methylobacterium	0.011	0.002	0.007	0.002	0.009	0	0.003	0.003	0.009	0.005	0.038	0.006	0.032	0.001	0.005	0	0.001	0.011	0.113	0	0.003	0	0.005	0	0.001	0	0.002
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Phyllobacteriaceae;Mesorhizobium	0.001	0	0.001	0	0.004	0	0	0	0.001	0	0.003	0.001	0.008	0	0.001	0	0	0	0.001	0	0	0	0	0	0	0	0.002
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Phyllobacteriaceae;Phyllobacterium	0.004	0	0	0	0	0	0	0	0.001	0.001	0.009	0.004	0.035	0	0	0	0	0	0.001	0	0.001	0	0	0	0.003	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Phyllobacteriaceae;unclassified	0.003	0	0.001	0	0.001	0	0.001	0	0.001	0.001	0.008	0.003	0.031	0	0	0	0	0	0	0	0.001	0	0.001	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Rhizobium	0	0	0	0	0	0	0	0	0	0	0.001	0	0.002	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Amaricoccus	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Paracoccus	0.007	0.004	0.024	0.007	0.039	0.002	0.016	0.003	0.017	0.001	0.006	0.003	0.017	0	0	0	0.003	0	0.002	0.002	0.018	0.001	0.005	0.004	0.031	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodobacter	0.002	0.001	0.005	0	0.003	0	0	0.002	0.013	0.001	0.005	0	0.002	0.001	0.01	0	0.001	0.001	0.005	0	0.001	0	0	0	0.001	0	0
