Microbial clades		G1								G2										G3						G4	
Headers		GroupG1		BM		KG		Hp		GroupG2		Th		PT		TD		Sal		GroupG3		SupP		SubP		Stool	
	max	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV
Column1	Column28	Column2	Column3	Column4	Column5	Column6	Column7	Column8	Column9	Column10	Column11	Column12	Column13	Column14	Column15	Column16	Column17	Column18	Column19	Column20	Column21	Column22	Column23	Column24	Column25	Column26	Column27
Bacteria;Proteobacteria;Betaproteobacteria;Hydrogenophilales	0	0	0.001	0	0.001	0	0.002	0	0.002	0	0.002	0	0.003	0	0	0	0	0	0.006	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Betaproteobacteria;Methylophilales	0	0	0.001	0	0.002	0	0	0	0	0	0.001	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales	10.109	4.291	5.13	3.734	4.194	2.62	4.711	6.518	6.485	6.834	7.724	5.714	7.525	5.504	6.997	10.109	10.619	6.007	5.754	7.81	6.634	9.093	7.109	6.526	6.159	0.008	0.056
Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales	0.018	0.004	0.027	0.008	0.064	0.001	0.009	0.002	0.009	0.001	0.005	0.001	0.005	0	0.003	0	0	0.002	0.011	0.017	0.058	0.017	0.058	0.018	0.058	0	0
Bacteria;Proteobacteria;Betaproteobacteria;unclassified	0.107	0.005	0.017	0.01	0.028	0.004	0.015	0.003	0.01	0.006	0.019	0.003	0.024	0.003	0.01	0.003	0.007	0.016	0.036	0.085	0.254	0.107	0.313	0.064	0.195	0.009	0.04
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0.011	0	0.002	0.003	0.019	0	0
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales	0	0	0	0	0	0	0	0	0	0	0.001	0	0.001	0	0.001	0	0	0	0.002	0	0.001	0	0	0	0.002	0.021	0.05
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales	0.005	0.001	0.019	0	0.001	0	0	0.004	0.057	0.001	0.013	0.005	0.051	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales	0.005	0	0.003	0	0.003	0	0	0.001	0.006	0.002	0.019	0.001	0.011	0	0.003	0	0	0.005	0.061	0	0.001	0	0	0	0.001	0	0
Bacteria;Proteobacteria;Deltaproteobacteria;unclassified	0.004	0	0.001	0	0.002	0	0	0	0.002	0.001	0.012	0	0.004	0	0	0	0	0.004	0.046	0	0	0	0	0	0	0.001	0.004
