D101	domain		Bacteria
S779	species	HMT-064	Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;sp._HMT_064
S780	species	HMT-066	Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;sp._HMT_066
S781	species	HMT-070	Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;sp._HMT-070
S782	species		Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;oralis
SSP782	subspecies	HMT-071	Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;oralis;subsp._tigurinus_clade_071
S783	species	HMT-073	Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;australis
S784	species	HMT-074	Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;sp._HMT_074
S785	species	HMT-152	Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;thermophilus
SSP786	subspecies	HMT-398	Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;oralis;subsp._dentisani_clade_398
S787	species		Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;parasanguinis
SSP787	subspecies	HMT-411	Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;parasanguinis;clade_411
S788	species	HMT-423	Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;sp._HMT_423
S789	species		Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;infantis
SSP789	subspecies	HMT-431	Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;infantis;clade_431
S790	species	HMT-537	Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;agalactiae
S791	species	HMT-543	Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;anginosus
S792	species	HMT-576	Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;constellatus
S793	species		Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;cristatus
SSP793	subspecies	HMT-578	Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;cristatus;clade_578
S794	species	HMT-594	Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;downei
S795	species	HMT-622	Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;gordonii
SSP796	subspecies	HMT-638	Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;infantis;clade_638
S797	species	HMT-644	Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;intermedius
S798	species	HMT-677	Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;mitis
S799	species	HMT-686	Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;mutans
SSP800	subspecies	HMT-707	Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;oralis;subsp._oralis
SSP801	subspecies	HMT-721	Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;parasanguinis;clade_721
S802	species	HMT-728	Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;peroris
S803	species	HMT-734	Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;pneumoniae
S804	species	HMT-745	Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;pyogenes
S805	species	HMT-755	Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;salivarius
S806	species	HMT-758	Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;sanguinis
S807	species	HMT-767	Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;sinensis
S808	species	HMT-768	Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;sobrinus
SSP809	subspecies	HMT-886	Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;cristatus;clade_886
S810	species	HMT-948	Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;lactarius
G811	genus		Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Stutzerimonas
S811	species	HMT-477	Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Stutzerimonas;stutzeri
F812	family		Bacteria;Bacillota;Clostridia;Eubacteriales;Syntrophomonadaceae
G812	genus		Bacteria;Bacillota;Clostridia;Eubacteriales;Syntrophomonadaceae;Syntrophomonadaceae_[VIII][G-1]
S812	species	HMT-435	Bacteria;Bacillota;Clostridia;Eubacteriales;Syntrophomonadaceae;Syntrophomonadaceae_[VIII][G-1];bacterium_HMT_435
F813	family		Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae
G813	genus		Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Tannerella
S813	species	HMT-286	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Tannerella;serpentiformis
S814	species	HMT-613	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Tannerella;forsythia
S815	species	HMT-808	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Tannerella;sp._HMT_808
S816	species	HMT-916	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Tannerella;sp._HMT_916
P817	phylum		Bacteria;Spirochaetota
C817	klass		Bacteria;Spirochaetota;Spirochaetia
O817	order		Bacteria;Spirochaetota;Spirochaetia;Spirochaetales
F817	family		Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae
G817	genus		Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema
S817	species	HMT-029	Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;vincentii
S818	species	HMT-226	Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;sp._HMT_226
S819	species	HMT-227	Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;sp._HMT_227
S820	species	HMT-228	Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;sp._HMT_228
S821	species	HMT-230	Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;sp._HMT_230
S822	species	HMT-231	Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;sp._HMT_231
S823	species	HMT-232	Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;sp._HMT_232
S824	species	HMT-234	Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;sp._HMT_234
S825	species	HMT-235	Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;sp._HMT_235
S826	species	HMT-236	Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;sp._HMT_236
S827	species	HMT-237	Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;sp._HMT_237
S828	species	HMT-238	Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;sp._HMT_238
S829	species	HMT-239	Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;sp._HMT_239
S830	species	HMT-242	Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;sp._HMT_242
S831	species	HMT-246	Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;sp._HMT_246
S832	species	HMT-247	Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;sp._HMT_247
S833	species	HMT-249	Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;sp._HMT_249
S834	species	HMT-250	Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;sp._HMT_250
S835	species	HMT-251	Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;sp._HMT_251
S836	species	HMT-252	Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;sp._HMT_252
S837	species	HMT-253	Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;sp._HMT_253
S838	species	HMT-254	Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;sp._HMT_254
S839	species	HMT-256	Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;sp._HMT_256
S840	species	HMT-257	Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;sp._HMT_257
S841	species	HMT-258	Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;sp._HMT_258
S842	species	HMT-260	Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;sp._HMT_260
S843	species	HMT-262	Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;sp._HMT_262
S844	species	HMT-263	Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;sp._HMT_263
S845	species	HMT-264	Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;sp._HMT_264
S846	species	HMT-265	Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;sp._HMT_265
S847	species	HMT-268	Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;sp._HMT_268
S848	species	HMT-269	Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;sp._HMT_269
S849	species	HMT-270	Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;sp._HMT_270
S850	species	HMT-271	Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;sp._HMT_271
S851	species	HMT-490	Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;sp._HMT_490
S852	species	HMT-508	Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;sp._HMT_508
S853	species	HMT-517	Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;sp._HMT_517
S854	species	HMT-518	Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;sp._HMT_518
S855	species	HMT-541	Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;amylovorum
S856	species	HMT-584	Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;denticola
S857	species	HMT-653	Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;lecithinolyticum
S858	species	HMT-664	Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;maltophilum
S859	species	HMT-667	Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;medium
S860	species	HMT-724	Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;parvum
S861	species	HMT-725	Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;pectinovorum
S862	species	HMT-743	Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;putidum
S863	species	HMT-769	Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;socranskii
S864	species	HMT-805	Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;pallidum
S865	species	HMT-927	Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;sp._HMT_927
S866	species	HMT-951	Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;sp._HMT_951
G867	genus		Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Variovorax
S867	species	HMT-717	Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Variovorax;paradoxus
G868	genus		Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Veillonella
S868	species	HMT-158	Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Veillonella;rogosae
S869	species	HMT-160	Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Veillonella;dispar
S870	species	HMT-161	Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Veillonella;parvula
S871	species	HMT-524	Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Veillonella;atypica
S872	species	HMT-780	Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Veillonella;sp._HMT_780
S873	species	HMT-887	Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Veillonella;denticariosi
S874	species	HMT-917	Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Veillonella;sp._HMT_917
G875	genus		Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Veillonellaceae_[G-1]
S875	species	HMT-129	Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Veillonellaceae_[G-1];bacterium_HMT_129
S876	species	HMT-132	Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Veillonellaceae_[G-1];bacterium_HMT_132
S877	species	HMT-135	Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Veillonellaceae_[G-1];bacterium_HMT_135
S878	species	HMT-145	Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Veillonellaceae_[G-1];bacterium_HMT_145
S879	species	HMT-148	Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Veillonellaceae_[G-1];bacterium_HMT_148
S880	species	HMT-150	Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Veillonellaceae_[G-1];bacterium_HMT_150
S881	species	HMT-155	Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Veillonellaceae_[G-1];bacterium_HMT_155
S882	species	HMT-483	Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Veillonellaceae_[G-1];bacterium_HMT_483
S883	species	HMT-918	Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Veillonellaceae_[G-1];bacterium_HMT_918
P884	phylum		Bacteria;Lentisphaerota
C884	klass		Bacteria;Lentisphaerota;Lentisphaeria
O884	order		Bacteria;Lentisphaerota;Lentisphaeria;Victivallales
F884	family		Bacteria;Lentisphaerota;Lentisphaeria;Victivallales;Victivallaceae
G884	genus		Bacteria;Lentisphaerota;Lentisphaeria;Victivallales;Victivallaceae;Victivallales_[G-1]
S884	species	HMT-998	Bacteria;Lentisphaerota;Lentisphaeria;Victivallales;Victivallaceae;Victivallales_[G-1];bacterium_HMT_998
G885	genus		Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Weeksellaceae_[G-1]
S885	species	HMT-900	Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Weeksellaceae_[G-1];sp._HMT_900
S886	species	HMT-907	Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Weeksellaceae_[G-1];sp._HMT_907
S887	species	HMT-931	Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Weeksellaceae_[G-1];sp._HMT_931
P888	phylum		Bacteria;Candidatus_Eremiobacterota
C888	klass		Bacteria;Candidatus_Eremiobacterota;WPS-2_[C-1]
O888	order		Bacteria;Candidatus_Eremiobacterota;WPS-2_[C-1];WPS-2_[O-1]
F888	family		Bacteria;Candidatus_Eremiobacterota;WPS-2_[C-1];WPS-2_[O-1];WPS-2_[F-1]
G888	genus		Bacteria;Candidatus_Eremiobacterota;WPS-2_[C-1];WPS-2_[O-1];WPS-2_[F-1];WPS-2_[G-1]
S888	species	HMT-999	Bacteria;Candidatus_Eremiobacterota;WPS-2_[C-1];WPS-2_[O-1];WPS-2_[F-1];WPS-2_[G-1];bacterium_HMT_999
G889	genus		Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Yersinia
S889	species	HMT-827	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Yersinia;pestis
